,result,table,_start,_stop,_time,_value,_field,_measurement,host,timestamp
,,622,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:33:00Z,-15,delta,delta_block_time,xmev-capture,1648452761327
,,623,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:48:00Z,-42,delta,delta_block_time,xmev-capture,1648457252597
,,624,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:32:00Z,-10,delta,delta_block_time,xmev-capture,1648459906480
,,625,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T10:11:00Z,-25,delta,delta_block_time,xmev-capture,1648462256135
,,626,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T10:03:00Z,-32,delta,delta_block_time,xmev-capture,1648461735790
,,627,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:41:00Z,9,delta,delta_block_time,xmev-capture,1648453233705
,,628,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:59:00Z,-30,delta,delta_block_time,xmev-capture,1648461515629
,,629,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T10:05:00Z,-42,delta,delta_block_time,xmev-capture,1648461875863
,,630,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:49:00Z,-19,delta,delta_block_time,xmev-capture,1648460911211
,,631,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:03:00Z,-10,delta,delta_block_time,xmev-capture,1648458141234
,,632,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:41:00Z,118,delta,delta_block_time,xmev-capture,1648456840424
,,633,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:16:00Z,-36,delta,delta_block_time,xmev-capture,1648455335200
,,634,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:25:00Z,-42,delta,delta_block_time,xmev-capture,1648455895613
,,635,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:11:00Z,-23,delta,delta_block_time,xmev-capture,1648455050984
,,636,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T10:12:00Z,11,delta,delta_block_time,xmev-capture,1648462268183
,,637,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:21:00Z,-26,delta,delta_block_time,xmev-capture,1648459213984
,,638,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:55:00Z,-50,delta,delta_block_time,xmev-capture,1648461279469
,,639,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T10:15:00Z,30,delta,delta_block_time,xmev-capture,1648462444316
,,640,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:58:00Z,-16,delta,delta_block_time,xmev-capture,1648457849029
,,641,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:14:00Z,-28,delta,delta_block_time,xmev-capture,1648455211124
