,result,table,_start,_stop,_time,_value,_field,_measurement,eth_block,host,pol_block
,,607,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T07:50:00Z,0,delta,delta_block_time,14460576,xmev-capture,14460577
,,608,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T08:40:00Z,7991,delta,delta_block_time,14460810,xmev-capture,14460809
,,609,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T11:10:00Z,2,delta,delta_block_time,14461449,xmev-capture,14461449
,,610,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T16:20:00Z,16003,delta,delta_block_time,14462848,xmev-capture,14462847
,,611,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T10:40:00Z,7979,delta,delta_block_time,14461341,xmev-capture,14461340
,,612,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T09:00:00Z,2,delta,delta_block_time,14460896,xmev-capture,14460897
,,613,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T07:50:00Z,16038,delta,delta_block_time,14460597,xmev-capture,14460596
,,614,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T10:10:00Z,7989,delta,delta_block_time,14461171,xmev-capture,14461170
,,615,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T09:40:00Z,3991,delta,delta_block_time,14461065,xmev-capture,14461064
,,616,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T08:00:00Z,11961,delta,delta_block_time,14460640,xmev-capture,14460639
,,617,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T13:10:00Z,31975,delta,delta_block_time,14461978,xmev-capture,14461977
,,618,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T08:30:00Z,12035,delta,delta_block_time,14460762,xmev-capture,14460761
,,619,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T14:00:00Z,11999,delta,delta_block_time,14462212,xmev-capture,14462211
,,620,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T10:40:00Z,19995,delta,delta_block_time,14461354,xmev-capture,14461353
,,621,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T10:40:00Z,3998,delta,delta_block_time,14461352,xmev-capture,14461351
,,622,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T16:00:00Z,7972,delta,delta_block_time,14462735,xmev-capture,14462734
,,623,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T13:10:00Z,3991,delta,delta_block_time,14461995,xmev-capture,14461994
,,624,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T14:20:00Z,56010,delta,delta_block_time,14462275,xmev-capture,14462273
,,625,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T10:20:00Z,4005,delta,delta_block_time,14461250,xmev-capture,14461248
,,626,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-25T22:40:00Z,311,delta,delta_block_time,14458105,xmev-capture,14458105
,,627,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T15:50:00Z,4002,delta,delta_block_time,14462695,xmev-capture,14462693
,,628,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T15:40:00Z,15996,delta,delta_block_time,14462686,xmev-capture,14462685
